Trade Date,Entry Time,Exit Time,Direction,NIFTY Spot Entry,Selected Expiry,ATM Strike,Option Type,Option Trading Symbol,Entry Premium,Exit Premium,Lot Size,Number of Lots,Quantity,Gross P&L,Brokerage & Charges,Net P&L,Exit Reason,Signal Reason,Confidence Notes
2026-07-08,13:25:00,13:30:00,SHORT,24216.3,2026-08-11,24200,PE,NIFTY2681124200PE,281.55,275.6,65,9,585,3480.75,47.23,3433.52,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=24.1 atr=17.2 rr=1:2
2026-07-08,13:35:00,13:40:00,SHORT,24214.25,2026-08-11,24200,PE,NIFTY2681124200PE,281.55,277.55,65,10,650,2600.0,47.24,2552.76,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=20.4 atr=16.9 rr=1:2
2026-07-08,13:45:00,13:50:00,SHORT,24120.2,2026-08-11,24100,PE,NIFTY2681124100PE,264.2,219.78,65,1,65,2887.62,37.12,2850.5,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=19.3 atr=23.0 rr=1:2
2026-07-09,15:00:00,15:05:00,SHORT,23968.7,2026-08-11,23950,PE,NIFTY2681123950PE,278.5,243.93,65,1,65,2247.37,40.07,2207.3,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=12.9 atr=27.3 rr=1:2
2026-07-09,15:10:00,15:15:00,SHORT,23940.5,2026-08-11,23950,PE,NIFTY2681123950PE,327.8,320.0,65,7,455,3549.0,47.23,3501.77,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=19.9 atr=28.2 rr=1:2
2026-07-10,13:25:00,13:30:00,SHORT,24176.55,2026-08-11,24200,PE,NIFTY2681124200PE,302.6,298.6,65,10,650,2600.0,47.24,2552.76,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=13.9 atr=14.4 rr=1:2
2026-07-10,13:40:00,13:45:00,SHORT,24196.75,2026-08-11,24200,PE,NIFTY2681124200PE,302.6,298.6,65,10,650,2600.0,47.24,2552.76,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=15.0 atr=13.9 rr=1:2
2026-07-10,13:50:00,13:55:00,SHORT,24194.5,2026-08-11,24200,PE,NIFTY2681124200PE,300.3,296.3,65,10,650,2600.0,47.24,2552.76,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=15.0 atr=14.0 rr=1:2
2026-07-13,13:20:00,13:25:00,LONG,24201.8,2026-08-11,24200,CE,NIFTY2681124200CE,380.3,388.3,65,10,650,5200.0,47.25,5152.75,TARGET,EMA_BULLISH_CROSSOVER,adx=58.9 atr=20.0 rr=1:2
2026-07-13,13:30:00,13:35:00,LONG,24185.05,2026-08-11,24200,CE,NIFTY2681124200CE,372.25,388.0,65,7,455,7166.25,47.23,7119.02,TARGET,EMA_BULLISH_CROSSOVER,adx=52.0 atr=21.7 rr=1:2
2026-07-14,13:20:00,13:25:00,SHORT,24089.3,2026-08-11,24100,PE,NIFTY2681124100PE,332.95,328.93,65,10,650,2616.25,47.24,2569.01,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=25.3 atr=18.0 rr=1:2
2026-07-14,13:30:00,13:35:00,SHORT,24075.2,2026-08-11,24100,PE,NIFTY2681124100PE,348.85,339.48,65,6,390,3656.25,47.23,3609.02,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=24.8 atr=19.0 rr=1:2
2026-07-15,13:20:00,13:25:00,SHORT,24072.4,2026-08-11,24050,PE,NIFTY2681124050PE,319.85,313.58,65,10,650,4078.75,47.24,4031.51,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=44.5 atr=25.8 rr=1:2
2026-07-15,13:30:00,13:35:00,SHORT,24063.0,2026-08-11,24050,PE,NIFTY2681124050PE,319.85,313.02,65,9,585,3992.63,47.24,3945.39,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=51.4 atr=24.5 rr=1:2
2026-07-16,13:20:00,13:25:00,SHORT,24114.3,2026-08-11,24100,PE,NIFTY2681124100PE,282.0,278.0,65,10,650,2600.0,47.24,2552.76,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=13.4 atr=13.9 rr=1:2
2026-07-16,13:30:00,13:35:00,SHORT,24090.55,2026-08-11,24100,PE,NIFTY2681124100PE,306.8,298.37,65,8,520,4381.0,47.23,4333.77,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=17.9 atr=14.8 rr=1:2
2026-07-17,13:35:00,13:40:00,LONG,24269.5,2026-08-11,24250,CE,NIFTY2681124250CE,330.05,338.05,65,10,650,5200.0,47.24,5152.76,TARGET,EMA_BULLISH_CROSSOVER,adx=14.5 atr=15.2 rr=1:2
2026-07-17,13:45:00,13:50:00,LONG,24239.95,2026-08-11,24250,CE,NIFTY2681124250CE,319.0,327.0,65,10,650,5200.0,47.24,5152.76,TARGET,EMA_BULLISH_CROSSOVER,adx=14.4 atr=16.1 rr=1:2
2026-07-20,13:30:00,13:35:00,LONG,24236.45,2026-08-11,24250,CE,NIFTY2681124250CE,317.35,325.35,65,10,650,5200.0,47.24,5152.76,TARGET,EMA_BULLISH_CROSSOVER,adx=30.0 atr=19.0 rr=1:2
2026-07-20,13:40:00,13:45:00,LONG,24228.8,2026-08-11,24250,CE,NIFTY2681124250CE,318.55,326.55,65,10,650,5200.0,47.24,5152.76,TARGET,EMA_BULLISH_CROSSOVER,adx=29.8 atr=18.4 rr=1:2
2026-07-21,13:20:00,13:25:00,SHORT,24165.5,2026-08-11,24150,PE,NIFTY2681124150PE,259.05,255.05,65,10,650,2600.0,47.23,2552.77,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=21.6 atr=13.7 rr=1:2
